SMPLID	Mophological.cluster.G4_0	Mophological.cluster.G4_1	Mophological.cluster.G4_2	Mophological.cluster.G4_3	Mophological.cluster.G4_4	Mophological.cluster.G4_5	Mophological.cluster.G4_6	Mophological.cluster.G4_7	Mophological.cluster.G4_8	Mophological.cluster.G4_9	Mophological.cluster.G4_10	Mophological.cluster.G4_11	Mophological.cluster.G4_12	Mophological.cluster.G4_13	Mophological.cluster.G4_14	Mophological.cluster.G4_15	Mophological.cluster.G4_16	Mophological.cluster.G4_17	Mophological.cluster.G4_18	Mophological.cluster.G4_19	Mophological.cluster.G4_20	Mophological.cluster.G4_21	Mophological.cluster.G4_22	Mophological.cluster.G4_23	Mophological.cluster.G4_24	Mophological.cluster.G4_25	Mophological.cluster.G4_26	Mophological.cluster.G4_27	Mophological.cluster.G4_28	Mophological.cluster.G4_29	Mophological.cluster.G4_30	Mophological.cluster.G4_31
GTEX.1GL5R.0326	0	5	1	11	42	0	63	152	250	0	476	9	108	7	99	0	4	28	0	12	133	2	3	679	0	1516	5	734	0	163	110	181
GTEX.1GMR2.1426	4	6	1	44	98	0	521	74	206	1	46	31	22	20	78	1	16	22	0	3	693	8	27	1377	0	2269	0	907	7	94	507	71
GTEX.1GMR3.0326	17	361	16	313	91	590	63	117	256	310	99	137	11	261	443	378	274	72	0	355	80	251	635	215	17	69	693	38	206	46	129	280
GTEX.1GMRU.1526	0	14	0	1252	952	0	102	53	263	4	0	10	59	3	11	98	25	375	0	19	1067	0	41	35	0	183	0	91	3	2670	1750	0
GTEX.1GN1V.0826	23	964	28	365	173	69	1	168	233	30	1	184	56	947	61	422	133	39	0	363	28	173	425	30	8	140	174	102	279	113	1295	2
GTEX.1GN1W.0326	2	137	0	23	54	0	37	223	177	1	259	21	465	26	133	26	8	20	0	45	368	5	91	1231	0	602	0	522	6	88	413	321
GTEX.1GN2E.1326	258	195	1180	846	354	135	3	85	130	19	2	189	14	130	117	414	572	39	0	141	94	1583	2158	86	277	19	591	86	127	203	947	45
GTEX.1GN73.2426	256	319	54	297	199	452	57	188	158	280	4	327	186	698	559	232	275	126	0	147	361	601	632	83	663	4	470	192	246	476	130	7
GTEX.1GTWX.1026	8	10	8	274	69	157	13	59	150	928	0	103	44	58	33	970	137	10	0	157	31	224	373	15	39	0	56	64	11	113	7	0
GTEX.1GZ4I.1026	59	1046	10	1311	566	412	6	211	224	124	2	58	43	252	109	945	494	28	0	162	385	178	1122	86	68	52	128	84	490	196	797	2
GTEX.1H11D.1226	53	381	20	962	341	140	103	43	244	18	12	248	1	259	97	504	295	39	0	172	513	546	1831	517	57	236	239	144	303	127	1510	28
GTEX.1H1CY.0326	75	98	8	625	992	16	33	1	130	98	0	83	0	612	117	175	597	45	0	68	693	410	784	185	9	53	14	120	124	1017	1515	17
GTEX.1H1ZS.1126	11	638	2	844	345	150	11	125	329	44	2	56	21	438	80	132	220	957	0	476	644	147	944	189	10	571	12	105	157	139	2306	0
GTEX.1H23P.1226	9	211	3	382	252	71	20	15	191	628	2	44	0	352	57	523	218	22	0	61	304	105	767	56	1	25	37	198	55	89	81	3
GTEX.1H3NZ.1126	25	992	5	1396	290	638	5	20	225	5	1	106	0	293	40	1484	248	78	0	303	44	61	312	25	74	74	96	42	701	95	619	4
GTEX.1HBPH.0126	8	1754	0	679	199	457	54	177	310	1450	6	165	27	146	78	431	263	35	0	449	188	38	245	27	12	31	23	304	830	99	92	1
GTEX.1HBPM.1226	25	923	6	527	179	289	10	3	130	385	8	115	0	503	80	599	240	24	0	302	110	122	394	30	12	20	183	172	350	70	448	1
GTEX.1HC8U.0726	72	416	36	269	226	380	14	5	166	1007	6	23	0	731	52	346	423	7	0	98	85	192	51	18	30	22	181	103	1029	96	84	15
GTEX.1HCU6.1026	73	139	5	340	303	866	65	97	188	2006	3	152	15	233	74	632	288	25	0	231	199	188	310	8	171	1	172	680	39	149	26	0
GTEX.1HCU7.1326	10	129	13	1280	216	3	0	46	119	1	1	110	12	199	29	725	181	4	0	45	40	168	380	49	3	37	2	65	297	33	2243	8
GTEX.1HCUA.0526	1	1	0	427	921	0	97	73	386	0	0	11	25	3	242	2	77	13	0	26	2102	8	84	1383	0	1381	0	174	1	214	1814	57
GTEX.1HCVE.1126	174	424	106	697	423	292	5	474	114	241	0	184	180	253	81	1120	646	60	0	365	48	643	887	3	96	5	142	20	284	137	325	1
GTEX.1HFI7.0826	0	53	0	18	49	0	61	13	187	3	22	18	1	46	74	0	30	0	0	115	389	18	54	623	0	833	1	76	8	17	171	94
GTEX.1HSGN.1126	1	60	2	22	30	0	755	171	211	0	52	1	89	5	15	169	5	33	0	10	275	0	19	200	0	533	0	2671	8	245	265	13
GTEX.1HSMO.1226	331	388	19	668	404	1032	19	60	133	301	1	385	15	59	366	552	400	158	0	280	85	75	174	1	725	0	135	7	281	357	12	1
GTEX.1HSMQ.0226	11	180	38	140	148	45	598	8	485	88	134	170	0	167	173	112	130	159	0	141	626	350	639	859	1	1323	185	174	31	86	266	572
GTEX.1HT8W.1726	244	185	122	236	121	1026	10	253	161	216	4	124	124	409	210	432	257	102	0	150	37	486	893	19	1143	12	917	58	50	111	122	0
GTEX.1I1GP.0826	55	263	10	1138	336	162	7	109	74	339	0	177	10	118	48	2204	647	49	0	126	87	534	1958	6	80	2	41	146	221	168	860	0
GTEX.1I1GQ.1426	55	755	37	931	365	1584	41	6	277	968	14	169	0	145	196	758	451	93	0	779	246	335	1374	48	191	30	246	137	105	161	334	0
GTEX.1I1GV.1326	185	485	1218	1120	318	75	4	296	242	49	8	123	87	410	215	1448	353	49	0	93	153	1589	2159	244	63	92	454	108	193	144	1161	97
GTEX.1I1HK.0726	11	118	1	1134	242	215	88	314	365	468	1	118	770	161	39	977	481	45	0	103	519	285	4153	155	5	84	6	141	45	207	994	0
GTEX.1I6K7.0626	2	4	0	19	119	3	594	219	198	9	489	90	86	3	721	2	10	32	0	77	1354	3	28	1170	1	190	9	38	0	189	15	846
GTEX.1ICG6.0626	35	42	45	29	65	4	268	239	462	36	1017	185	471	47	693	15	62	222	0	157	853	82	164	1597	6	1692	50	314	28	227	354	2807
GTEX.1ICLY.1326	1	714	0	2159	180	14	8	86	322	729	0	134	31	87	14	2185	80	122	0	137	194	14	87	25	2	49	24	482	476	243	1135	1
GTEX.1ICLZ.1026	399	16	446	1465	816	17	15	128	50	27	0	113	104	16	273	531	736	74	0	22	1010	1031	1314	42	2	2	52	3	46	553	164	74
GTEX.1IDJE.0326	0	0	0	4	4	0	411	84	66	2	74	1	62	0	70	4	3	53	0	5	214	0	8	390	0	80	0	43	0	82	31	437
GTEX.1IDJF.0726	1	820	1	373	99	28	87	10	295	5	0	59	1	132	41	151	46	18	0	76	201	17	279	530	0	505	1	290	847	57	735	32
GTEX.1IDJH.1026	169	59	170	9	63	653	3	13	65	201	5	115	5	239	144	37	110	35	0	235	7	107	10	4	1009	2	2253	3	53	64	0	0
GTEX.1IDJI.1026	2	196	2	11	79	28	1377	47	402	55	2056	73	8	115	835	21	10	88	0	89	650	24	112	2008	1	825	60	194	10	211	98	1517
