"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000198804.2"	6999987.64954314	-0.269189146299297	0.229146988943907	-1.17474441859322	0.240096982821593	0.578953751172604
"ENSG00000198886.2"	5576956.12609384	-0.446762754724006	0.205570030990575	-2.17328738323968	0.0297586944793217	0.357300916999394
"ENSG00000210082.2"	3982398.69677321	-0.571357320603113	0.220798987985105	-2.58768088484924	0.00966244491848214	0.309214498473116
"ENSG00000198938.2"	3455068.27427182	-0.406406937009449	0.210305506665445	-1.93245979838256	0.0533027794292735	0.39115025074146
"ENSG00000198727.2"	3076679.79858611	-0.44174609703025	0.200090552659495	-2.20773090562649	0.0272630370846082	0.355086782827313
"ENSG00000198899.2"	2670568.27446383	-0.450782479064744	0.197285618344366	-2.28492316291345	0.0223173335867192	0.345432470700737
"ENSG00000198712.1"	2620906.49784817	-0.490206400779274	0.19483514085071	-2.51600608924489	0.0118693132113926	0.318057178178744
"ENSG00000092054.12"	871594.867055917	0.106247116215828	0.181782053525003	0.584475277705094	0.55890059347917	0.794737590211363
"ENSG00000198888.2"	2226838.9441465	-0.431043804076316	0.197386833904057	-2.18375154791647	0.0289805096872162	0.357300916999394
"ENSG00000198763.3"	2017405.95425166	-0.434436020040393	0.188399200738961	-2.30593345585543	0.0211143508823704	0.342600301249675
"ENSG00000198786.2"	1138906.55226566	-0.323015853663184	0.191396602931483	-1.6876780920653	0.0914730394823755	0.443172807921465
"ENSG00000111245.14"	423317.999559532	-0.0126483297704892	0.16774939936141	-0.0754001493813927	0.939896340360443	0.977174465871728
"ENSG00000175084.11"	576400.599825655	-0.0033964974925161	0.126449498220563	-0.0268605058961299	0.978570993871864	0.992229050227506
"ENSG00000159251.6"	304824.787468764	0.117057892063966	0.213208069119451	0.549031247022755	0.582984006281032	0.808104009678327
"ENSG00000198125.12"	315080.654165816	0.0937490542890098	0.169873446047177	0.551875860945177	0.581033407857646	0.807273395749173
"ENSG00000198840.2"	688935.83424229	-0.486112351596107	0.200592516408688	-2.42338228912638	0.0153767356373169	0.328966690545392
"ENSG00000140416.19"	290034.5035323	0.0377599170660022	0.146277453220796	0.258139010726459	0.796299625339481	0.916535662656283
"ENSG00000212907.2"	615124.124867481	-0.460082381903947	0.207939279217413	-2.21258043999904	0.0269265847869462	0.354159400869706
"ENSG00000155657.26"	193361.296419879	0.0236969982964411	0.173789465086055	0.136354630499075	0.891540938228794	0.957992813100429
"ENSG00000211459.2"	464322.055124858	-0.581264598327575	0.217020396613122	-2.67838695071498	0.00739776999854577	0.299361762959308
"ENSG00000118194.18"	266179.273849126	0.0490993978690439	0.145531191947635	0.337380579461693	0.735830022691637	0.886169959623775
"ENSG00000134571.10"	171535.277666437	0.0886050234421765	0.177755857105255	0.498464719447812	0.618156530155991	0.828157684465383
"ENSG00000143632.14"	208848.149974486	0.0547154415654421	0.307659158695745	0.177844345012827	0.858845220154222	0.943685813536996
"ENSG00000173641.17"	189003.620017337	0.135437505551269	0.153422293801302	0.882775913431951	0.377357356843232	0.680205142233729
"ENSG00000129991.12"	190656.914509373	-0.107771508639004	0.159750357328753	-0.674624523169106	0.499914348506391	0.758466508661094
"ENSG00000198695.2"	307861.18955637	-0.214388523909178	0.200785563408769	-1.0677486980113	0.285633885127588	0.6153253132745
"ENSG00000109846.7"	157881.188770241	0.0302574594582406	0.177966817963126	0.170017421250459	0.864996435936334	0.946892496649611
"ENSG00000228253.1"	378423.078731632	-0.462217023794836	0.196485095880955	-2.35242791175815	0.0186513046405327	0.341559440742739
"ENSG00000104879.4"	165543.074972636	-0.0306093965636964	0.161148043665699	-0.189945815458954	0.849351590402407	0.940030433583993
"ENSG00000160808.9"	173215.90103126	-0.0237513711365514	0.140073906538347	-0.169563137942821	0.865353714332308	0.947016481851658
"ENSG00000248527.1"	329349.280510094	-0.35122959754949	0.212003200039857	-1.65671837728609	0.0975764257801446	0.450633001433685
"ENSG00000114854.7"	114225.516188127	0.0325225823611073	0.162897130340321	0.199651045375458	0.84175350295279	0.937146080535081
"ENSG00000173991.5"	125318.166926093	0.0126783416514588	0.156440396659444	0.0810426329911343	0.935408047766589	0.975466950755912
"ENSG00000128591.15"	125308.606475025	0.129419882130201	0.23783497306411	0.544158331564279	0.586332522863166	0.810026989382747
"ENSG00000174437.16"	78767.2835192737	0.259982212126924	0.214426952697921	1.21245118142018	0.225339719186084	0.567711957291542
"ENSG00000148677.6"	106014.203374219	0.382848506399958	0.249978893614685	1.53152332528552	0.125640106165837	0.47879126152382
"ENSG00000077522.12"	89782.2797056785	0.214923713312796	0.181101197940977	1.18676030725563	0.235322179534976	0.575061080656211
"ENSG00000110955.8"	81571.6125839589	0.105813992755844	0.160304834772983	0.660079859136456	0.509202582880685	0.76437004142101
"ENSG00000197616.11"	126773.84858555	0.434719933337154	0.321028381034329	1.35414797886878	0.175689171766094	0.530947976944137
"ENSG00000151729.10"	72245.4549340174	0.151416141099149	0.17625234055232	0.85908726445651	0.390292373094443	0.690255659827895
"ENSG00000122367.19"	75023.9083167605	0.0956671651665329	0.164205047049385	0.582607945891948	0.560157255127314	0.79537714538066
"ENSG00000152234.15"	60083.093652445	0.104400437598322	0.165604614432817	0.630419858503851	0.52841992144209	0.775937567888169
"ENSG00000164309.14"	53678.9278784163	0.136768147824028	0.204235149928951	0.669660182743309	0.503074439608625	0.760492063574389
"ENSG00000121769.7"	84007.4650687115	0.0281323501212119	0.141942581360485	0.198195283272787	0.842892277693206	0.937552948516341
"ENSG00000149925.17"	87379.2705068683	0.00177451892838061	0.114227023182942	0.0155350185878398	0.987605347066633	0.995958812191329
"ENSG00000111640.14"	75656.2128787564	0.0949040142200896	0.115419398481867	0.822253585345098	0.410932587037274	0.704120697411594
"ENSG00000198523.5"	44325.9231692214	0.157830397933208	0.206178033107595	0.765505401105668	0.44397065148686	0.725099568581244
"ENSG00000111716.12"	50102.3899333216	0.103324697456453	0.169673320498879	0.608962547280001	0.542549264088614	0.783889812754384
"ENSG00000198626.15"	46053.3403796743	0.117496377332544	0.221433892160558	0.530616050624035	0.595684870807439	0.815812665771037
"ENSG00000167658.15"	70478.5143126899	0.105185180039746	0.0777240774804989	1.3533152589188	0.175954936488343	0.530947976944137
"ENSG00000078114.18"	48678.8825410111	0.0750321785186569	0.18333938813635	0.409252912215761	0.682354067634589	0.859842531410885
"ENSG00000197893.13"	49995.2640867594	0.306110246797925	0.180295451610513	1.69782567482183	0.089540668559271	0.440552872275673
"ENSG00000107317.12"	70093.1858703689	-0.0194864210845421	0.149993263251585	-0.12991530860861	0.896633432419068	0.959943231200109
"ENSG00000036448.9"	49639.5222798093	0.052704226340782	0.201769858405012	0.261209611571363	0.793930866398367	0.914832991335742
"ENSG00000115641.18"	43392.769403441	0.076594829836098	0.199230197138353	0.384453917811001	0.700642044577545	0.867507451783066
"ENSG00000168334.8"	53797.0635169067	0.247451796120828	0.267396142381853	0.925412737508592	0.35475125567393	0.66611087156434
"ENSG00000101605.12"	36612.6566339436	0.188386013759803	0.197451243558005	0.954088768270841	0.340038710949179	0.653863682710068
"ENSG00000118729.11"	36512.5212715997	0.303009196695129	0.188432778125053	1.60804929858879	0.107824382166925	0.463061214457919
"ENSG00000131730.15"	36657.8956208457	0.151789204363113	0.205963124886839	0.736972719978441	0.461138939178602	0.736183915073169
"ENSG00000129170.8"	39565.4265713439	0.2053032531965	0.200811236253456	1.02236935057446	0.306606121089206	0.628939473297953
"ENSG00000022267.16"	53064.6959368787	0.331646771711623	0.205995292108972	1.60997257906351	0.107403842680186	0.462673398696027
"ENSG00000172399.5"	33681.78654148	0.13159657033833	0.17197188433371	0.765221424700842	0.444139703970732	0.725099568581244
"ENSG00000138029.13"	33593.4481782575	0.169786442825612	0.192726909176678	0.880969053833395	0.378334569867412	0.680610562798252
"ENSG00000099204.18"	44140.8853395779	0.113726178281982	0.125798160854339	0.904036891395138	0.365975839909753	0.673258740828786
"ENSG00000014641.17"	34010.7707731372	0.128839480768139	0.178750726250802	0.72077738351321	0.471046492543304	0.741998236730335
"ENSG00000101210.10"	46696.0319686857	0.0589486499907789	0.161397308120471	0.365239362894318	0.714932737548188	0.875277236187533
"ENSG00000130528.11"	35701.0642378285	0.209735611236295	0.172691786593336	1.21450831781705	0.224553675496652	0.56676741279662
"ENSG00000077157.21"	33158.3219678856	0.17294428519399	0.178439155303397	0.969205917277158	0.332442459310547	0.648326247534018
"ENSG00000198959.11"	45634.2740337499	0.276021022188503	0.161427606771919	1.70987495700468	0.0872889982542403	0.439192889290711
"ENSG00000172270.18"	59797.678037763	-0.0470396218877256	0.102462910370905	-0.459089261835792	0.646170067531562	0.841173207196889
"ENSG00000197746.13"	52695.1648710763	0.0953883027711102	0.0763292295504093	1.24969560590303	0.211410763095859	0.556359885517937
"ENSG00000211445.11"	47564.2198533645	-0.0411171406143484	0.130510095387853	-0.315049502432402	0.75272406867253	0.893859274685208
"ENSG00000178104.19"	28594.377448517	0.225116330681123	0.195751888572588	1.15000847410801	0.25014038103894	0.586356221645956
"ENSG00000096384.19"	45365.8693772734	0.061357245085121	0.104675361010011	0.586167026252273	0.557763277842738	0.794360893407121
"ENSG00000106211.8"	57262.7843724402	-0.163544913388205	0.160428680645518	-1.01942441170836	0.308001521629895	0.630047289931579
"ENSG00000109971.13"	37901.9049585325	0.103122516924461	0.144534893436119	0.713478347497023	0.475549806984895	0.744664307190794
"ENSG00000103034.14"	31793.3989227337	0.14960072659672	0.167633537568154	0.892427188299941	0.372164003604389	0.677673957890688
"ENSG00000133112.16"	57413.0151491088	0.0158450910071489	0.0546963137119314	0.289692118752282	0.772051786240486	0.902254734274953
"ENSG00000101608.12"	40450.1307236495	0.0664622738280542	0.161854013999549	0.410630988912263	0.681343137119292	0.859204546707381
"ENSG00000079308.16"	40186.2218100233	0.161123020536247	0.102719572538112	1.56857175857567	0.116747757283097	0.470029698459291
"ENSG00000171992.12"	41699.0623457599	0.0566241616643577	0.0990014454442761	0.571952878165089	0.567353898925265	0.799421109743985
"ENSG00000004799.7"	42662.8890384567	0.0700542431567188	0.275032642856563	0.254712467687896	0.798945185973842	0.918389181376886
"ENSG00000101335.9"	54721.8004363927	-0.0839185340596639	0.0908916234177276	-0.923281276141189	0.355860642837246	0.666430480477257
"ENSG00000175445.14"	34045.7862003471	0.308658805129379	0.184537816018558	1.67260462808522	0.0944051552133797	0.446968744580455
"ENSG00000087460.24"	49180.9707974797	0.0617344173799338	0.0630518235357584	0.979105978511828	0.327527617952277	0.645096612600243
"ENSG00000072778.19"	43600.6879743837	0.0504149730699752	0.110923699860519	0.454501365653772	0.649468009225791	0.842963156378327
"ENSG00000225630.1"	84428.1355996143	-0.485229445127479	0.218022604672897	-2.22559236853205	0.0260414978340975	0.354061054132765
"ENSG00000095637.21"	30399.7853144479	0.181157820708935	0.170555909316718	1.06216091506117	0.288162640035571	0.617335709861547
"ENSG00000265972.5"	52608.7768742211	0.0866677236610681	0.120473640751125	0.719391587410451	0.471899678760866	0.742419504744661
