"pathway"	"padj"	"ES"	"NES"
"REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS"	0.00458706979127355	0.643805776826905	1.64122498666406
"REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES"	0.00465732828466975	0.641643606888885	1.63571306450458
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES"	0.00272633259254889	0.580658012593802	1.63370898400226
"REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES"	0.00508161944144652	0.554912089267662	1.60793797009268
"REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS"	0.00517507349249399	0.669960198982839	1.59493435492699
"REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA"	0.00297370424625502	0.510867455582979	1.59358019923493
"REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION"	0.00607595475838205	0.653771230196853	1.55639424086229
"REACTOME_P2Y_RECEPTORS"	0.00625778098582776	0.693412930226703	1.55017543732214
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION"	0.00482884607378228	0.490375770051823	1.5363653009606
"REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH"	0.0054835028668627	0.457945949338109	1.48007816047174
"REACTOME_INNATE_IMMUNE_SYSTEM"	0.000137828994790797	-0.322142802497878	-1.3745449096968
"REACTOME_CELL_CYCLE"	0.000275447814331226	-0.338607189161011	-1.40636928419922
"REACTOME_CELLULAR_RESPONSES_TO_STIMULI"	0.000138069148255449	-0.338735575385199	-1.41958154540891
"REACTOME_METABOLISM_OF_RNA"	0.000138069148255449	-0.345264057349204	-1.43927307965757
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"	0.000275447814331226	-0.374469239629232	-1.49596367878049
"REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"	0.000192530754987712	-0.375132514772977	-1.52074061524334
"REACTOME_RHO_GTPASE_CYCLE"	0.000138069148255449	-0.374934860837581	-1.52293658658108
"REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"	1.34049053382924e-06	-0.372234975594757	-1.54940635678345
"REACTOME_SIGNALING_BY_WNT"	0.000275447814331226	-0.406652807078743	-1.57758930353601
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1"	0.000275447814331226	-0.449015105466029	-1.68398265923562
