"pathway"	"padj"	"ES"	"NES"
"REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES"	0.0014793385452477	0.603196916520883	1.74397912497215
"REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA"	0.00125429539544899	0.544200495341708	1.70184746085502
"REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS"	0.00196952163891711	0.520090358004617	1.62717808411465
"REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES"	0.00197299948406113	0.735410068737566	1.61883659353458
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES"	0.00387163776958226	0.57384400937326	1.60751970377039
"REACTOME_FCGR_ACTIVATION"	0.0029517571015397	0.502363412408715	1.57101271526298
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION"	0.00278008070278971	0.49839241345934	1.55929291898706
"REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES"	0.00428973726968487	0.627433961542933	1.55786440544246
"REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS"	0.00325753847625762	0.659050961870621	1.55352621586545
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT"	0.00313954525019999	0.47606827337913	1.51791002531
"REACTOME_INNATE_IMMUNE_SYSTEM"	2.03421489133927e-05	-0.332408634818862	-1.39814634755107
"REACTOME_CELLULAR_RESPONSES_TO_STIMULI"	5.44091277036733e-05	-0.346081134931237	-1.43345589283902
"REACTOME_CELL_CYCLE"	5.44091277036733e-05	-0.352509238603035	-1.45032254898335
"REACTOME_METABOLISM_OF_RNA"	2.03421489133927e-05	-0.363914517920271	-1.50024511677043
"REACTOME_RHO_GTPASE_CYCLE"	2.84784232865729e-05	-0.386241025725477	-1.54905412123711
"REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"	2.03421489133927e-05	-0.393460412693911	-1.57065340088188
"REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"	8.352840387486e-07	-0.384421392932639	-1.58495599306186
"REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS"	5.44091277036733e-05	-0.444741744927241	-1.68944644787275
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1"	6.03293881457523e-05	-0.470433058268439	-1.72913110709273
"REACTOME_ESR_MEDIATED_SIGNALING"	3.9775131154889e-05	-0.490563909316226	-1.79080376042483
