"pathway"	"padj"	"ES"	"NES"
"REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS"	0.327900546720542	-0.592882595132058	-1.50003367995634
"REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS"	0.313200505249661	-0.663308764930097	-1.52398203054859
"REACTOME_ERYTHROPOIETIN_ACTIVATES_RAS"	0.310065059964425	-0.664292641884112	-1.52624253256133
"REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS"	0.277641365973483	-0.655953005383432	-1.55704107773708
"REACTOME_AMINE_LIGAND_BINDING_RECEPTORS"	0.274996360465976	-0.550350484039303	-1.49236510892735
"REACTOME_SIGNALING_BY_NTRK2_TRKB"	0.274996360465976	-0.594493975036484	-1.58462474703338
"REACTOME_SELECTIVE_AUTOPHAGY"	0.217375513057235	-0.466342567006056	-1.50248047948342
"REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES"	0.162485098770487	-0.572409426462663	-1.60689727726517
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3"	0.0742642106637643	-0.808850902662489	-1.74278907375374
"REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION"	0.0562637073913249	-0.755197211955275	-1.79261787225067
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"	0.0513377950620552	0.269746671570048	1.27451136188803
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING"	0.0513377950620552	0.40769919841734	1.59040262287619
"REACTOME_SIGNALING_BY_INTERLEUKINS"	0.0509570604956582	0.296099578097484	1.34887980896805
"REACTOME_TRANSPORT_OF_SMALL_MOLECULES"	0.0434924639574226	0.267205516340742	1.26724865796121
"REACTOME_RHO_GTPASE_CYCLE"	0.0370686393662696	0.294587894518863	1.35798828052431
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS"	0.0338421198953573	0.766169339733173	2.06469222169031
"REACTOME_ECM_PROTEOGLYCANS"	0.0338421198953573	0.485711536003287	1.79181506110766
"REACTOME_SIGNALING_BY_WNT"	0.0338421198953573	0.337667886626695	1.47456186237132
"REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"	0.0196829597326518	0.281024284283942	1.32824493968483
"REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF"	0.018622733772305	0.879681339429584	2.07353790757136
