"pathway"	"padj"	"ES"	"NES"
"REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS"	0.317651427424566	0.650349184040233	1.51575912044148
"REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS"	0.317651427424566	0.519503409556438	1.43892612111559
"REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES"	0.269057385477747	0.679495008587225	1.5356675686508
"REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH"	0.226179374981306	0.450341837801394	1.42249324891126
"REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES"	0.186466140957941	0.630943048885032	1.62115923428737
"REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS"	0.180448131554568	0.670698423187637	1.62066129173031
"REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA"	0.170649950298001	0.495776286053892	1.51028378792364
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES"	0.146348863747094	0.580125477865238	1.60683777674855
"REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION"	0.0723792456435227	0.725849927350535	1.75392820408222
"REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES"	0.0409879594519616	0.624635368271228	1.76427097309948
"REACTOME_SIGNALING_BY_INTERLEUKINS"	0.0165161771964673	-0.36629539813361	-1.46160036198156
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"	0.0154143164452843	-0.330642773285972	-1.35605662579325
"REACTOME_CELLULAR_RESPONSES_TO_STIMULI"	0.0108032779127312	-0.32951759913332	-1.36005675448619
"REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"	0.0108032779127312	-0.366741580715321	-1.46718012994772
"REACTOME_ESR_MEDIATED_SIGNALING"	0.0108032779127312	-0.46036846567161	-1.6671799618955
"REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS"	0.0108032779127312	-0.421176744707566	-1.59152191728818
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1"	0.0108032779127312	-0.453402450545688	-1.65006697515545
"REACTOME_INNATE_IMMUNE_SYSTEM"	0.00304605427347664	-0.322720764825498	-1.36433173014224
"REACTOME_METABOLISM_OF_RNA"	0.00304605427347664	-0.346890411992414	-1.4247388124741
"REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"	0.00304605427347664	-0.350094385958161	-1.43579158652726
