"pathway"	"padj"	"ES"	"NES"
"REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY"	0.00174755217383053	0.778981535454688	1.73681493727945
"REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES"	0.00282392407463266	0.647316474988057	1.69076198758628
"REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA"	0.000816307673315542	0.53742196377618	1.68900847734256
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION"	0.00174755217383053	0.508472957583514	1.60636935621007
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3"	0.00495996189069913	0.717637632616622	1.60004275217498
"REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS"	0.00555690895561834	0.594778273164299	1.55353452934588
"REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS"	0.00309093284037182	0.479914209754066	1.51614647084174
"REACTOME_FCGR_ACTIVATION"	0.00419317159850178	0.472111002446972	1.48374934246588
"REACTOME_CD22_MEDIATED_BCR_REGULATION"	0.00637304340877184	0.479605139955804	1.47559940417701
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT"	0.00419317159850178	0.446913292911932	1.46176145113181
"REACTOME_INNATE_IMMUNE_SYSTEM"	0.000123376116567913	-0.320992244725235	-1.37044428197869
"REACTOME_METABOLISM_OF_RNA"	8.1818840635238e-05	-0.349296230611653	-1.45989607549747
"REACTOME_CELLULAR_RESPONSES_TO_STIMULI"	4.26623427330599e-05	-0.34990991614313	-1.47094859094586
"REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"	0.000123376116567913	-0.367984203994413	-1.48763200199058
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"	0.000123376116567913	-0.385811871385266	-1.53973637634788
"REACTOME_RHO_GTPASE_CYCLE"	2.61074684686414e-05	-0.386384889150276	-1.5730660744702
"REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"	1.72071117945501e-07	-0.386157291655204	-1.61566791217458
"REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS"	0.000123376116567913	-0.426852386929444	-1.64071424055212
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1"	6.83649104733578e-05	-0.469068095928308	-1.73158390910316
"REACTOME_NR1H3_NR1H2_REGULATE_GENE_EXPRESSION_LINKED_TO_CHOLESTEROL_TRANSPORT_AND_EFFLUX"	0.000149030346508088	-0.68084963496674	-1.96240558134029
