"pathway"	"padj"	"ES"	"NES"
"REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS"	0.00701617765223784	0.601576510037004	1.57471373480296
"REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH"	0.00441551457961795	0.462694020724531	1.53826326123784
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES"	0.00803954270143393	0.520627846904238	1.51334473958846
"REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS"	0.00770683750798256	0.503150499026503	1.50976149530209
"REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION"	0.0127818881325836	0.540237447554929	1.45816578455159
"REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES"	0.0122345942647956	0.511885687731825	1.43882680244521
"REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS"	0.0128701433964001	0.489887138315363	1.42398860946438
"REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL"	0.0135961743479544	0.508481009323405	1.41782043842756
"REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES"	0.0126472930868883	0.470742574843298	1.40973670705152
"REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA"	0.012036160496305	0.44136293031549	1.40800923517741
"REACTOME_INNATE_IMMUNE_SYSTEM"	0.000564098943430633	-0.279434062171478	-1.31225325613108
"REACTOME_VESICLE_MEDIATED_TRANSPORT"	0.000588799535988667	-0.294356211737901	-1.33252424687068
"REACTOME_INFECTIOUS_DISEASE"	0.000564098943430633	-0.289291327084516	-1.33369978331474
"REACTOME_CELLULAR_RESPONSES_TO_STIMULI"	0.000249006746364708	-0.299563225295499	-1.36005530080569
"REACTOME_RHO_GTPASE_CYCLE"	0.00073539487232479	-0.318764198635114	-1.41345240282389
"REACTOME_MEMBRANE_TRAFFICKING"	0.000249006746364708	-0.313899266881404	-1.41852965126662
"REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"	9.76807088757075e-05	-0.318822719089779	-1.44715787313999
"REACTOME_SIGNALING_BY_INTERLEUKINS"	0.000588799535988667	-0.330368893437243	-1.45355751945637
"REACTOME_METABOLISM_OF_RNA"	3.87100536282674e-05	-0.324361794717635	-1.47015935060677
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"	3.47060137545109e-05	-0.383479282657753	-1.66671419214355
