"gene"	"log2FoldChange"	"padj"
"ENSG00000210156.1"	2.19834075519382	7.58511350081012e-42
"ENSG00000281181.1"	1.94980207343191	8.72344687825163e-18
"ENSG00000210140.1"	1.53197076987165	1.28678542797074e-25
"ENSG00000281383.1"	1.44092567018633	2.42051919280703e-19
"ENSG00000262902.1"	1.15660943314917	5.82741307611848e-23
"ENSG00000202538.1"	1.15430452658236	5.33443385551983e-11
"ENSG00000179751.6"	1.14363041013368	9.73415557455502e-09
"ENSG00000137392.9"	1.04422470882346	4.80567775119776e-07
"ENSG00000168928.12"	1.03080989761541	3.5842350942122e-08
